epoch,train_loss,val_loss,val_acc
1,6.745230334145682,1.9491739869117737,0.26785714285714285
2,5.863466399056571,1.7556605339050293,0.19642857142857142
3,4.805269479751587,1.9217512011528015,0.17857142857142858
4,4.916261298315866,2.113309621810913,0.26785714285714285
5,4.19617087500436,2.3069319128990173,0.26785714285714285
6,4.199843781335013,2.4965972304344177,0.23214285714285715
7,4.244558300290789,2.669470727443695,0.30357142857142855
8,3.8043972424098422,2.6480417251586914,0.30357142857142855
9,4.373224701200213,2.6267685890197754,0.3392857142857143
10,3.9173720904759,2.824479818344116,0.2857142857142857
11,3.6022637571607317,2.9047691822052,0.2857142857142857
12,3.5157138279506137,2.97429096698761,0.30357142857142855
13,2.991021054131644,2.863148331642151,0.32142857142857145
14,3.178947619029454,2.84139084815979,0.30357142857142855
15,2.7593493121010915,2.7293241024017334,0.32142857142857145
16,2.9349100249154225,2.6249927282333374,0.3392857142857143
17,2.6344893319266185,2.4901139736175537,0.3392857142857143
18,2.6611999443599155,2.5405176877975464,0.30357142857142855
19,2.8418461084365845,2.554874539375305,0.30357142857142855
20,2.5888593707765852,2.3658401370048523,0.30357142857142855
21,2.544085366385324,2.3489665389060974,0.30357142857142855
22,2.409491811479841,2.246591567993164,0.30357142857142855
23,2.5922272545950755,2.1674325466156006,0.3392857142857143
24,2.420633316040039,2.1458117365837097,0.32142857142857145
25,2.0949293885912215,2.1100707054138184,0.30357142857142855
26,2.7417828866413663,2.050107419490814,0.32142857142857145
27,2.5779720885413036,2.018704354763031,0.3392857142857143
28,3.003518377031599,2.125388264656067,0.3392857142857143
29,2.2802203723362515,2.1086063981056213,0.32142857142857145
30,2.263854878289359,2.0416184067726135,0.32142857142857145
31,2.239501816885812,2.119281530380249,0.30357142857142855
32,2.175939849444798,2.1124414801597595,0.30357142857142855
33,2.0282377004623413,1.986948847770691,0.32142857142857145
34,2.4655420439583913,2.0786149501800537,0.30357142857142855
35,2.1694827590669905,2.036219835281372,0.30357142857142855
36,2.5481193235942294,1.9930006265640259,0.2857142857142857
37,1.920855266707284,1.8761442303657532,0.30357142857142855
38,1.7906218937465124,1.8056429028511047,0.32142857142857145
39,1.9140864951269967,1.7774928212165833,0.32142857142857145
40,2.2525433472224643,1.7751830220222473,0.3392857142857143
41,2.0117302111216953,1.8554725050926208,0.3392857142857143
42,2.145633169582912,1.8259326219558716,0.3392857142857143
43,1.7549503360475813,1.765863299369812,0.3392857142857143
44,1.7922564915248327,1.7927215695381165,0.3392857142857143
45,1.70647394657135,1.7943665385246277,0.32142857142857145
46,2.034485970224653,1.7895763516426086,0.3392857142857143
47,1.693073034286499,1.726284921169281,0.3392857142857143
48,1.6866853748049055,1.6748186349868774,0.3392857142857143
49,1.686154808316912,1.6569724082946777,0.3392857142857143
50,1.676282184464591,1.6697477102279663,0.35714285714285715
